id_umkm,nama_usaha,kategori,foto,latitude,longitude,tanggal_survei,nomor_indeks
1,Otak-otak Mak Ucu,KUL,,0.814642,104.593841,,1
2,Otak-otak Bu Yana,KUL,,0.813468,104.593860,,2
3,Otak-otak Bu Iza,KUL,,0.813404,104.593850,,3
4,Otak-Otak Mak Long,KUL,,0.813527,104.593743,,4
5,Otak-Otak Cik Ros,KUL,,0.813344,104.593709,,5
6,Otak-otak Mak Bona,KUL,,0.8123216858422777, 104.59348313225951,,6
7,Cafe Tanjung Tili,KUL,,0.8100192059244234, 104.59284757847877,,7
8,Kedai Kopi Sei 6,KUL,,0.8114273734684896, 104.5939857154081,,8
9,Otak-Otak Cik Ida,KUL,,0.8123578094759343, 104.59465258657559,,9
10,Warung Otak-otak Cik Endang,KUL,,0.812976, 104.595025,,10
11,Otak-otak Pak Oteh,KUL,,0.813353, 104.595191,,11
12,Otak-otak Wati,KUL,,0.813877, 104.595182,,12
13,Gudang Ketam Labas ( GKL ),KUL,,0.813153, 104.595874,,13
14,Gerai Julia,KUL,,0.816871, 104.595515,14
15,Otak-otak Pak Moh,KUL,,0.813127, 104.595165,,15
16,Otak-otak Buk Elvi,KUL,,0.812520, 104.594600,,16
17,Otak-otak Mak Oteh,KUL,,0.8137037805256817,104.5938799722267,17
